TestType,operator,Andhra Pradesh,Assam,Bihar,Chennai,Delhi,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Karnataka,Kerala,Kolkata,Madhya Pradesh,Maharashtra,Mumbai,North East,Orissa,Punjab,Rajasthan,Tamil Nadu,UP East,UP West,West Bengal
download,AIRTEL,11480.21,10931.79,6448.97,8553.74,11913.47,6346.16,12953.72,10575.83,11162.66,8570.38,9991.02,9222.94,12737.55,9554.65,11187.39,6153.06,12835.98,11821.01,9499.52,8985.25,4428.65,5323.32,6836.22
download,CELLONE,9106.5,800,812,5285.6,,3557.67,10257.5,3265.5,4103.5,7412.85,6488.43,13524,3453.33,4985.35,,1291,6767.67,10156.29,6772.75,8768.71,5903,4923,5446.39
download,IDEA,4159.2,15811.49,7197.69,7360.68,5214.06,11204.91,8887.1,4796.45,6059.39,4751.33,6928.76,8436,7541.4,6685.61,5514.88,7804.29,6865.06,6899.61,5778.14,9530.12,3953.23,7842.67,12513.99
download,JIO,17188.72,5289.24,31542.4,7455.11,8315.37,13979.12,8208.19,20625.26,8860.41,16562.38,7939.68,8316.38,26144.76,14683.82,7888.63,4657.38,20892.79,18393.59,18644.28,12773.49,15280.92,19756.22,14440.21
download,UNINOR,6172.55,,,,,,,,,,,,,,,,,,,,,1972.38,
download,VODAFONE,5502.67,5475.9,2938.5,11266.34,8144.55,9277.88,6996.71,,,5367.06,8064.03,10313.28,11646.33,7951.05,7090.17,3600.6,6018.87,5370.24,5269.18,8733.34,4289.64,3811.88,7728.33
upload,AIRTEL,4879.54,3471.14,3602.39,2634.3,2053.28,2925.91,4123,4198.27,2855.5,2901.71,3038.25,2327.31,6931.84,3665.72,3210.58,2734.87,5214.63,4116.34,5352.08,3438.05,3743.21,4272.84,2820.47
upload,CELLONE,2342.6,4981,2463,542.8,,2836.33,1241.5,4252.5,8493,1611.38,2682.11,1781.5,2064.17,1140.09,,777,1722.92,7851.29,3765.08,2416.36,2508.5,1524,1920.72
upload,IDEA,3291.05,7909.19,4811.44,5925.37,4008.3,10012.06,9298.1,5179.67,5012.69,3125.18,5435.68,,7180.22,6533.9,4916.03,6105.73,4922.41,8345.95,3593.13,5927.9,3347.41,8029.07,5832.5
upload,JIO,3626.28,3076.79,5386.95,2718.89,2740.23,3292.8,3036.85,6238.48,5118.68,3596.99,2246.85,3927.5,5828.97,3399.85,3888.34,3269.02,5092.14,5852.44,5427.7,3370.58,4850.41,4718.95,3443.9
upload,UNINOR,4611.36,,,,,,,,,,,,,,,,,,,,,1368,
upload,VODAFONE,4104.48,8211.99,1079.33,8142.46,5539.3,6658.51,5203.51,,,4639.17,5866.31,7907.01,3621,3975.91,3166.54,6168.48,4760.9,4803.87,4665.35,6754.7,3835.41,3947.45,6367.71
